id;area_calc;elev_mean;elev_med;elev_ran;elev_std;slope_mean;mvert_dist;mvert_ang;asp_mean;elon_ratio;strm_dens;p_mean;ref_et_mean;aridity;p_season;frac_snow;high_prec_fr;high_prec_du;high_prec_timing;lo_prec_fr;low_prec_du;low_prec_timing;p_mean_ERA5L;pet_mean_ERA5L;aridity_ERA5L;p_season_ERA5L;frac_snow_ERA5L;high_prec_fr_ERA5L;high_prec_du_ERA5L;high_prec_timing_ERA5L;lo_prec_fr_ERA5L;low_prec_du_ERA5L;low_prec_timing_ERA5L;q_mean;runoff_ratio;hfd_mean;slope_fdc;baseflow_index_ladson;stream_elas;high_q_freq;high_q_dur;Q95;low_q_freq;low_q_dur;Q5;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_pa_fra;gc_pb_fra;gc_va_fra;gc_vb_fra;gc_23_dom;gc_23_pavr;gc_23_pb;gc_23_vapy;gc_23_vbsr;gc_23_vbpy;gc_23_vb;g_dom_NI;g621_fra;g701_fra;g743_fra;g746_fra;gbinn_fra;ggnew_fra;ggold_fra;ghraun_fra;gbnew_fra;gbold_fra;gmob_fra;gsgos_fra;gsinn_fra;gsn_fra;gsnew_fra;gsold_fra;g_frac;g_area;g_mean_el;g_min_el;g_max_el;g_aspect;g_slope;g_slopel20;g_lon;g_lat;degimpact;typimpact
1;189.932;289.528;292.295;1032.913;176.473;172.789;32.0;299;169.985;0.486;0.36;4.34;0.6;0.14;-0.38;0.31;12.45;1.12;djf;174.45;3.1;jja;3.91;1.41;0.36;-0.24;0.28;10.3;1.11;djf;161.9;2.87;jja;4.546;1.115;153.417;2.715;0.561;1.365;4.001;1.714;12.549;6.085;3.174;0.996;322;0.028;0.112;0.082;0.0;0.081;0.0;0.634;0.037;1.43;1.43;0.51;-0.02;0.7;0.7;1.436;0.513;0.413;0.07;0.628;0.233;0.14;0.152;0.012;vb;0.0;0.0;0.08;0.92;vb__sr;0.0;0.0;0.08;0.573;0.346;0.0;gold;0.0;0.0;0.068;0.0;0.003;0.348;0.542;0.0;0.0;0.0;0.0;0.039;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;s;A
2;525.265;884.189;787.682;867.832;211.002;77.564;29.9;34;157.578;0.865;0.48;3.79;0.55;0.14;-0.43;0.67;12.7;1.25;djf;168.2;2.83;jja;2.98;0.49;0.17;-0.26;0.64;7.3;1.13;djf;144.1;2.43;jja;;;;;;;;;;;;;332;0.0;0.69;0.0;0.196;0.002;0.0;0.001;0.034;0.1;0.1;0.07;-0.07;0.02;0.02;16.341;0.81;0.355;0.113;0.777;0.183;0.04;0.082;0.015;vb;0.0;0.0;0.0;1.0;vbpy__;0.0;0.0;0.0;0.0;0.961;0.039;hraun;0.218;0.0;0.0;0.0;0.0;0.196;0.0;0.395;0.0;0.011;0.179;0.0;0.0;0.0;0.0;0.0;0.191;100.215;1266.816;800.011;1532.225;92.854;74.086;103.569;516630.196;489682.742;u;F
3;1134.906;867.15;828.054;1304.542;193.966;107.203;54.2;339;173.625;0.701;0.43;3.17;0.53;0.17;-0.39;0.68;10.05;1.15;djf;167.6;2.82;jja;2.89;0.54;0.19;-0.22;0.63;6.7;1.11;djf;140.95;2.36;jja;3.078;0.985;240.417;1.423;0.757;0.615;;;6.776;;;1.459;332;0.0;0.816;0.0;0.091;0.005;0.0;0.034;0.018;0.15;0.15;0.1;-0.07;0.06;0.06;9.079;0.536;0.41;0.075;0.616;0.257;0.127;0.164;0.014;vb;0.0;0.0;0.037;0.963;vbpy__;0.0;0.0;0.037;0.246;0.699;0.018;gnew;0.101;0.0;0.0;0.0;0.0;0.357;0.243;0.186;0.0;0.005;0.083;0.024;0.0;0.0;0.0;0.0;0.088;100.296;1266.74;800.011;1532.225;92.925;74.067;103.569;516625.199;489685.825;u;F
4;225.994;999.572;882.287;828.938;248.928;85.301;26.6;31;133.192;0.637;0.49;4.71;0.54;0.12;-0.45;0.72;12.95;1.25;djf;158.75;2.79;jja;3.07;0.37;0.12;-0.28;0.66;7.7;1.15;djf;145.15;2.49;jja;;;;;;;;;;;;;332;0.0;0.481;0.0;0.411;0.0;0.0;0.0;0.021;0.06;0.06;0.05;-0.08;0.01;0.01;8.0;0.614;0.355;0.081;0.777;0.183;0.04;0.082;0.015;vb;0.0;0.0;0.0;1.0;vbpy__;0.0;0.0;0.0;0.0;0.91;0.09;621;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.218;0.0;0.026;0.306;0.0;0.0;0.0;0.0;0.0;0.403;91.13;1265.235;800.011;1531.728;92.456;69.56;101.276;515974.85;490006.497;u;F
5;130.323;623.64;632.957;652.128;55.218;35.077;19.9;58;176.643;0.648;0.16;2.61;0.56;0.22;-0.21;0.57;15.2;1.19;son;213.25;3.33;jja;3.05;0.65;0.21;-0.28;0.57;12.8;1.17;djf;173.6;2.66;jja;;;;;;;;;;;;;322;0.0;0.043;0.0;0.0;0.086;0.0;0.654;0.218;0.71;0.71;0.44;-0.07;0.63;0.63;1.049;1.0;0.347;0.128;0.839;0.112;0.047;0.048;0.011;vb;0.0;0.0;0.0;1.0;vb__sr;0.0;0.0;0.0;0.658;0.342;0.0;gnew;0.0;0.0;0.0;0.0;0.0;0.529;0.471;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;u;F
6;1492.803;721.564;644.055;1384.034;268.229;55.253;80.8;328;196.58;0.539;0.5;3.46;0.59;0.17;-0.43;0.59;11.7;1.23;djf;170.2;2.97;jja;3.06;0.64;0.21;-0.25;0.55;8.25;1.12;djf;152.2;2.6;jja;;;;;;;;;;;;;332;0.0;0.47;0.0;0.118;0.05;0.0;0.233;0.099;0.35;0.35;0.23;-0.07;0.26;0.26;20.071;0.76;0.375;0.107;0.723;0.204;0.074;0.11;0.014;vb;0.0;0.0;0.001;0.999;vbpy__;0.0;0.0;0.001;0.0;0.955;0.044;hraun;0.137;0.0;0.001;0.0;0.0;0.152;0.0;0.526;0.0;0.046;0.137;0.001;0.0;0.0;0.0;0.0;0.117;174.435;1343.778;848.52;1789.067;268.458;87.704;112.657;499087.082;483070.641;u;F
7;1673.314;687.824;627.79;1700.089;273.362;61.441;89.9;331;194.155;0.513;0.48;3.3;0.6;0.18;-0.42;0.57;11.4;1.22;djf;172.15;2.97;jja;3.02;0.68;0.23;-0.23;0.54;8.2;1.12;djf;152.9;2.62;jja;2.392;0.711;183.0;0.628;0.786;0.738;0.195;3.0;3.9;;;1.271;332;0.004;0.427;0.0;0.105;0.046;0.0;0.284;0.107;0.45;0.45;0.26;-0.07;0.32;0.32;18.803;0.786;0.372;0.111;0.73;0.201;0.07;0.106;0.014;vb;0.0;0.0;0.001;0.999;vbpy__;0.0;0.0;0.001;0.025;0.936;0.039;hraun;0.123;0.0;0.001;0.0;0.0;0.217;0.027;0.47;0.0;0.041;0.122;0.001;0.0;0.0;0.0;0.0;0.104;174.61;1343.588;848.52;1789.067;268.295;87.699;112.657;499049.931;483073.303;s;A
8;642.085;311.843;261.237;1130.76;219.81;115.877;31.8;180;176.428;0.9;0.39;5.07;0.55;0.11;-0.19;0.28;10.75;1.11;;167.5;3.03;jja;5.21;3.33;0.64;-0.23;0.26;10.0;1.11;djf;148.3;2.78;mam;9.193;1.882;175.143;0.424;0.877;0.534;;;12.891;;;7.039;322;0.044;0.229;0.049;0.0;0.028;0.001;0.526;0.099;1.41;1.41;0.48;0.0;0.68;0.68;6.598;0.965;0.357;0.129;0.799;0.146;0.054;0.07;0.012;vb;0.0;0.0;0.0;1.0;vbpy__;0.0;0.0;0.0;0.0;0.803;0.197;hraun;0.0;0.0;0.0;0.0;0.0;0.027;0.0;0.532;0.0;0.182;0.258;0.001;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;l;D
9;37.148;906.429;946.693;1362.123;279.619;423.293;10.3;347;195.485;0.667;0.35;3.55;0.64;0.18;-0.36;0.78;14.4;1.27;son;181.0;2.93;jja;3.28;0.48;0.15;-0.18;0.64;7.9;1.22;son;143.9;2.37;jja;5.076;1.383;258.0;3.416;0.615;-1.499;3.425;2.708;16.351;71.511;16.349;0.674;332;0.002;0.702;0.0;0.07;0.0;0.0;0.226;0.0;0.46;0.46;0.23;-0.07;0.27;0.27;0.5;0.1;0.47;0.019;0.45;0.33;0.222;0.25;0.014;vb;0.0;0.0;0.108;0.892;vb__sr;0.0;0.0;0.108;0.892;0.0;0.0;gold;0.0;0.0;0.0;0.0;0.0;0.0;0.777;0.0;0.0;0.0;0.0;0.223;0.0;0.0;0.0;0.0;0.071;2.649;1146.587;950.168;1397.42;196.789;291.748;263.797;529479.519;567344.17;u;F
10;67.377;676.962;667.014;252.022;38.88;66.172;11.1;63;176.23;0.833;0.42;4.64;0.37;0.08;-0.34;0.55;12.7;1.16;djf;174.45;3.1;jja;4.0;0.91;0.23;-0.22;0.47;8.85;1.13;djf;154.85;2.79;mam;;;;;;;;;;;;;332;0.0;0.919;0.0;0.0;0.033;0.0;0.033;0.0;0.18;0.18;0.09;-0.07;0.03;0.03;1.0;1.0;0.348;0.13;0.836;0.122;0.046;0.051;0.011;vb;0.0;0.0;0.0;1.0;vbpy__;0.0;0.0;0.0;0.0;1.0;0.0;gnew;0.0;0.0;0.0;0.0;0.0;0.497;0.0;0.315;0.0;0.0;0.188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;u;F
