YYYY;MM;DD;qobs;qc_flag
1950;9;1;300.11;40.0
1950;9;2;300.11;40.0
1950;9;3;300.11;40.0
1950;9;4;300.11;40.0
1950;9;5;300.11;40.0
1950;9;6;300.11;40.0
1950;9;7;300.11;40.0
1950;9;8;300.11;40.0
1950;9;9;296.32;40.0
1950;9;10;296.32;40.0
1950;9;11;296.32;40.0
1950;9;12;296.32;40.0
1950;9;13;296.32;40.0
1950;9;14;296.32;40.0
1950;9;15;296.32;40.0
1950;9;16;296.32;40.0
1950;9;17;288.77;40.0
1950;9;18;288.77;40.0
1950;9;19;288.77;40.0
1950;9;20;288.77;40.0
1950;9;21;288.77;40.0
1950;9;22;288.77;40.0
1950;9;23;288.77;40.0
1950;9;24;288.77;40.0
1950;9;25;288.77;40.0
1950;9;26;288.77;40.0
1950;9;27;288.77;40.0
1950;9;28;285.01;40.0
1950;9;29;285.01;40.0
1950;9;30;285.01;40.0
1950;10;1;285.01;40.0
1950;10;2;285.01;40.0
1950;10;3;285.01;40.0
1950;10;4;285.01;40.0
1950;10;5;285.01;40.0
1950;10;6;285.01;40.0
1950;10;7;270.08;40.0
1950;10;8;237.08;40.0
1950;10;9;229.86;40.0
1950;10;10;258.98;40.0
1950;10;11;240.7;40.0
1950;10;12;251.64;40.0
1950;10;13;255.31;40.0
1950;10;14;258.98;40.0
1950;10;15;300.11;40.0
1950;10;16;288.77;40.0
1950;10;17;285.01;40.0
1950;10;18;281.26;40.0
1950;10;19;273.8;40.0
1950;10;20;273.8;40.0
1950;10;21;273.8;40.0
1950;10;22;300.11;40.0
1950;10;23;319.19;40.0
1950;10;24;385.73;40.0
1950;10;25;426.0;40.0
1950;10;26;397.73;40.0
1950;10;27;389.72;40.0
1950;10;28;358.03;40.0
1950;10;29;369.85;40.0
1950;10;30;369.85;40.0
1950;10;31;377.77;40.0
1950;11;1;358.03;40.0
1950;11;2;373.81;40.0
1950;11;3;326.88;40.0
1950;11;4;315.35;40.0
1950;11;5;319.19;40.0
1950;11;6;311.53;40.0
1950;11;7;358.03;40.0
1950;11;8;426.0;40.0
1950;11;9;389.72;40.0
1950;11;10;393.72;40.0
1950;11;11;361.96;40.0
1950;11;12;315.35;40.0
1950;11;13;247.98;40.0
1950;11;14;323.03;40.0
1950;11;15;307.71;40.0
1950;11;16;262.67;40.0
1950;11;17;219.12;40.0
1950;11;18;354.1;40.0
1950;11;19;212.02;40.0
1950;11;20;270.08;40.0
1950;11;21;255.31;40.0
1950;11;22;173.83;40.0
1950;11;23;281.26;40.0
1950;11;24;222.69;40.0
1950;11;25;266.37;40.0
1950;11;26;270.08;40.0
1950;11;27;273.8;40.0
1950;11;28;251.64;40.0
1950;11;29;262.67;40.0
1950;11;30;255.31;40.0
1950;12;1;247.98;40.0
1950;12;2;226.27;40.0
1950;12;3;326.88;40.0
1950;12;4;273.8;40.0
1950;12;5;270.08;40.0
1950;12;6;300.11;40.0
1950;12;7;307.71;40.0
1950;12;8;292.54;40.0
1950;12;9;270.08;40.0
1950;12;10;300.11;40.0
1950;12;11;191.0;40.0
1950;12;12;219.12;40.0
1950;12;13;277.53;40.0
1950;12;14;315.35;40.0
1950;12;15;300.11;40.0
1950;12;16;338.5;40.0
1950;12;17;361.96;40.0
1950;12;18;651.42;40.0
1950;12;19;542.74;40.0
1950;12;20;319.19;40.0
1950;12;21;323.03;40.0
1950;12;22;338.5;40.0
1950;12;23;307.71;40.0
1950;12;24;346.28;40.0
1950;12;25;311.53;40.0
1950;12;26;323.03;40.0
1950;12;27;330.74;40.0
1950;12;28;285.01;40.0
1950;12;29;277.53;40.0
1950;12;30;285.01;40.0
