date,P_mm,T_degC,solid_P_mm
1993-10-01,3.162,6.272,0.054
1993-10-02,2.235,4.931,0.375
1993-10-03,0.006,4.21,0.0
1993-10-04,0.033,1.272,0.045
1993-10-05,0.0,-3.586,0.009
1993-10-06,0.006,-1.71,0.009
1993-10-07,0.015,1.535,0.009
1993-10-08,0.003,1.899,0.0
1993-10-09,0.009,0.55,0.006
1993-10-10,0.0,-0.069,0.0
1993-10-11,0.0,-2.078,0.0
1993-10-12,0.0,-3.594,0.0
1993-10-13,0.012,-3.915,0.018
1993-10-14,0.153,-7.39,0.183
1993-10-15,0.0,-7.609,0.0
1993-10-16,0.159,-4.259,0.174
1993-10-17,7.176,-0.576,5.565
1993-10-18,0.714,-1.414,0.627
1993-10-19,0.186,-4.678,0.213
1993-10-20,0.216,-4.215,0.216
1993-10-21,25.887,1.575,9.498
1993-10-22,22.284,1.569,2.046
1993-10-23,2.424,1.112,1.272
1993-10-24,9.867,4.167,1.623
1993-10-25,25.452,5.811,0.366
1993-10-26,32.1,4.666,1.977
1993-10-27,2.463,2.073,0.384
1993-10-28,9.447,4.44,1.806
1993-10-29,18.78,2.758,3.831
1993-10-30,2.853,1.364,0.894
1993-10-31,9.297,4.62,1.476
1993-11-01,23.715,5.44,1.101
1993-11-02,6.249,4.411,1.752
1993-11-03,8.961,4.183,1.536
1993-11-04,31.896,3.81,6.918
1993-11-05,2.34,0.006,8.529
1993-11-06,32.277,1.486,3.951
1993-11-07,2.559,-2.431,13.257
1993-11-08,29.757,1.814,7.125
1993-11-09,6.753,-1.303,6.327
1993-11-10,8.124,-2.349,18.351
1993-11-11,18.081,-4.362,8.499
1993-11-12,7.185,-6.47,4.782
1993-11-13,5.838,-6.634,7.209
1993-11-14,7.947,-4.773,10.527
1993-11-15,20.409,2.026,12.972
1993-11-16,20.718,1.121,10.053
1993-11-17,15.807,-0.614,12.627
1993-11-18,15.057,-1.21,5.568
1993-11-19,16.077,-0.056,23.829
1993-11-20,43.095,1.132,0.072
1993-11-21,0.039,-3.038,0.225
1993-11-22,0.348,-3.725,12.495
1993-11-23,20.388,0.063,1.224
1993-11-24,1.149,-2.699,9.42
1993-11-25,10.74,-2.572,1.71
1993-11-26,10.686,-0.327,20.49
1993-11-27,26.502,-0.645,15.174
1993-11-28,32.304,2.686,3.156
1993-11-29,8.601,2.491,0.498
1993-11-30,1.674,-1.296,inf
1993-12-01,5.181,-2.154,5.106
1993-12-02,6.525,-3.81,6.483
1993-12-03,1.824,-5.722,1.854
1993-12-04,0.117,-7.682,0.138
1993-12-05,0.816,-6.28,0.888
1993-12-06,4.497,-5.209,4.533
1993-12-07,0.021,-7.337,0.039
1993-12-08,0.0,-8.649,0.0
1993-12-09,0.036,-6.286,0.045
1993-12-10,0.189,-5.752,0.201
1993-12-11,0.78,-7.418,0.795
1993-12-12,5.082,-4.558,5.022
1993-12-13,2.493,-10.228,2.499
1993-12-14,10.251,-4.215,10.284
1993-12-15,0.123,-6.481,0.159
1993-12-16,0.0,-9.409,0.015
1993-12-17,0.0,-11.656,0.0
1993-12-18,0.285,-11.282,0.339
1993-12-19,1.944,-13.702,1.971
1993-12-20,3.015,-9.766,3.042
1993-12-21,0.627,-13.239,0.669
1993-12-22,1.281,-12.11,1.32
1993-12-23,1.293,-8.53,1.329
1993-12-24,0.003,-6.445,0.018
1993-12-25,0.18,-4.229,0.183
1993-12-26,12.936,0.332,9.963
1993-12-27,4.962,-1.533,4.77
1993-12-28,9.207,-0.15,6.897
1993-12-29,2.535,-1.002,2.196
1993-12-30,4.35,-1.765,4.317
1993-12-31,0.483,-3.554,0.519
1994-01-01,0.003,-4.365,0.006
1994-01-02,0.084,-3.901,0.108
1994-01-03,0.015,-7.286,0.036
1994-01-04,0.0,-8.166,0.015
1994-01-05,0.036,-9.071,0.066
1994-01-06,0.006,-11.371,0.03
1994-01-07,0.0,-9.834,0.012
1994-01-08,0.0,-9.401,0.009
1994-01-09,0.039,-5.829,0.057
1994-01-10,0.87,-2.452,0.891
1994-01-11,3.225,0.734,1.896
1994-01-12,0.723,-0.872,0.693
1994-01-13,0.378,-2.788,0.417
